subject,trial,muscle,r_lag0,r_best,lag_s
subject4,walkingTS1,bflh_l,0.742850018558848,0.742850018558848,0.0
subject4,walkingTS1,glmed1_l,-0.07723762288828148,-0.07723762288828148,0.0
subject4,walkingTS1,soleus_r,0.7061747853786305,0.7163542027239309,0.02
subject4,walkingTS1,gasmed_r,0.38517366031842737,0.38517366031842737,0.0
subject4,walkingTS1,vasmed_r,0.4909965607067639,0.4909965607067639,0.0
subject4,walkingTS1,vaslat_r,0.5859245147998422,0.5859245147998422,0.0
subject4,walkingTS1,semiten_r,0.7690633716036894,0.7690633716036894,0.0
subject4,walkingTS1,bflh_r,0.7237141548077302,0.7237141548077302,0.0
subject4,walkingTS1,glmed1_r,0.2353828417012493,0.37828771052306703,0.12
subject4,walkingTS2,soleus_l,0.7155336049011656,0.7155336049011656,0.0
subject4,walkingTS2,gasmed_l,0.4358127837235656,0.6624719789521832,0.12
subject4,walkingTS2,tibant_l,-0.3765024153390097,0.09104197505817874,0.12
subject4,walkingTS2,recfem_l,0.06770331698670733,0.40217212661949053,0.07
subject4,walkingTS2,vasmed_l,0.8239905298985487,0.8239905298985487,0.0
subject4,walkingTS2,vaslat_l,0.8189763688812648,0.8189763688812648,0.0
subject4,walkingTS2,semiten_l,0.8032872292294184,0.8032872292294184,0.0
subject4,walkingTS2,bflh_l,0.8475696173961957,0.8475696173961957,0.0
subject4,walkingTS2,glmed1_l,0.07087837865131251,0.16456474169837657,0.06
subject4,walkingTS2,soleus_r,0.8567446421899446,0.8729716771010896,0.02
subject4,walkingTS2,gasmed_r,0.7025800250980839,0.7025800250980839,0.0
subject4,walkingTS2,vasmed_r,0.583281304031377,0.831319096071371,0.12
subject4,walkingTS2,vaslat_r,0.6893501485682463,0.7624512778346182,0.07
subject4,walkingTS2,semiten_r,0.8758996989030292,0.8758996989030292,0.0
subject4,walkingTS2,bflh_r,0.825196825241803,0.825196825241803,0.0
subject4,walkingTS2,glmed1_r,0.24426594001923918,0.3804650475864637,0.12
subject4,walkingTS3,soleus_l,0.8341810246927509,0.853339862675567,0.02
subject4,walkingTS3,gasmed_l,0.34346199035668984,0.7486205949077094,0.12
subject4,walkingTS3,tibant_l,-0.2941643542417768,-0.011456457521387645,0.12
subject4,walkingTS3,recfem_l,0.4209200824360719,0.5643024949711438,0.04
subject4,walkingTS3,vasmed_l,0.8485817967139153,0.8485817967139153,0.0
subject4,walkingTS3,vaslat_l,0.8316347225003752,0.8316347225003752,0.0
subject4,walkingTS3,semiten_l,0.7534011916827215,0.7837383095510227,0.03
subject4,walkingTS3,bflh_l,0.7875619254218099,0.7875619254218099,0.0
subject4,walkingTS3,glmed1_l,0.2341334576739507,0.2759310964462968,0.03
subject4,walkingTS3,soleus_r,0.650557182975974,0.8580721800629949,0.05
subject4,walkingTS3,gasmed_r,0.5707004980626534,0.5707004980626534,0.0
subject4,walkingTS3,vasmed_r,0.3315880405689286,0.3364897062638054,0.09
subject4,walkingTS3,vaslat_r,0.13399039635427665,0.2181105748344513,0.12
subject4,walkingTS3,semiten_r,0.6751037384254406,0.6751037384254406,0.0
subject4,walkingTS3,bflh_r,0.6714354114494293,0.6714354114494293,0.0
subject4,walkingTS3,glmed1_r,0.38216727601511824,0.5132162441438665,0.04
subject5,walking1,soleus_l,0.9681313443220011,0.9853691191736342,0.03
subject5,walking1,gasmed_l,0.7834945621292001,0.7834945621292001,0.0
subject5,walking1,tibant_l,0.09939910648594819,0.13829139406945098,0.04
subject5,walking1,recfem_l,-0.11571801518669521,0.06522292343710145,0.1
subject5,walking1,vasmed_l,0.04324125078566054,0.10410957757425944,0.1
subject5,walking1,vaslat_l,0.07093226798218273,0.07093226798218273,0.0
subject5,walking1,semiten_l,0.6943255432146674,0.7877290255346997,0.05
subject5,walking1,bflh_l,0.7984329571970332,0.8326445279440319,0.03
subject5,walking1,glmed1_l,-0.0041291288903912505,0.5113823455680332,0.12
subject5,walking1,soleus_r,0.8636118823026344,0.9160998120151782,0.02
subject5,walking1,gasmed_r,0.687425698945802,0.7971377615326821,0.05
subject5,walking1,vasmed_r,-0.0534692899776092,0.14803656250251057,0.12
subject5,walking1,vaslat_r,-0.1994705247499146,0.15501896860823805,0.1
subject5,walking1,semiten_r,0.8174387340878423,0.8174387340878423,0.0
subject5,walking1,bflh_r,0.9642656921383248,0.9642656921383248,0.0
subject5,walking1,glmed1_r,-0.3462366177118197,-0.1764597441629056,0.12
subject5,walking2,soleus_l,0.8463810405736383,0.9783301969054945,0.07
subject5,walking2,gasmed_l,0.701317980578104,0.701317980578104,0.0
subject5,walking2,tibant_l,0.276469949787719,0.3227353932668642,0.04
subject5,walking2,recfem_l,-0.03510559398948336,0.2565480876163571,0.12
subject5,walking2,vasmed_l,0.36863762326633026,0.38725591364723694,0.01
subject5,walking2,vaslat_l,0.3754800981959114,0.3807760857953208,0.01
subject5,walking2,semiten_l,0.6220148348601806,0.7617339118050429,0.04
subject5,walking2,bflh_l,0.7408873594193809,0.8260586911169884,0.03
subject5,walking2,glmed1_l,0.25776668190198837,0.6300510571364578,0.12
subject5,walking2,soleus_r,0.8065580858104558,0.8147147323037247,0.01
subject5,walking2,gasmed_r,0.6911693850050179,0.6911693850050179,0.0
subject5,walking2,vasmed_r,0.3325976792081752,0.3325976792081752,0.0
subject5,walking2,vaslat_r,-0.152447269555503,0.12882003882865345,0.09
subject5,walking2,semiten_r,0.7114184963587825,0.7114184963587825,0.0
subject5,walking2,bflh_r,0.9758430305449617,0.9758430305449617,0.0
subject5,walking2,glmed1_r,-0.21687185718982144,0.5503352897688463,0.12
subject5,walking3,soleus_l,0.9212946504689145,0.9620595092118704,0.04
subject5,walking3,gasmed_l,0.8195000894280358,0.8195000894280358,0.0
subject5,walking3,tibant_l,0.11883480351675095,0.12063005802961846,0.01
subject5,walking3,recfem_l,-0.07666890121428507,0.11734997629062562,0.1
subject5,walking3,vasmed_l,0.5338951763466303,0.5338951763466303,0.0
subject5,walking3,vaslat_l,0.37877136497818664,0.37877136497818664,0.0
subject5,walking3,semiten_l,0.7616013789197292,0.8527277084039795,0.03
subject5,walking3,bflh_l,0.7624864110488198,0.8436518026089322,0.03
subject5,walking3,glmed1_l,-0.07807750071413724,0.4889280968505842,0.12
subject5,walking3,soleus_r,0.8636655287721571,0.8636655287721571,0.0
subject5,walking3,gasmed_r,0.6251272146968481,0.6251272146968481,0.0
subject5,walking3,vasmed_r,0.2979526341726302,0.2979526341726302,0.0
subject5,walking3,vaslat_r,0.0452688155274262,0.0452688155274262,0.0
subject5,walking3,semiten_r,0.8950416855744253,0.8950416855744253,0.0
subject5,walking3,bflh_r,0.9642951527925175,0.9642951527925175,0.0
subject5,walking3,glmed1_r,-0.2923093102313837,0.3357934823560014,0.12
subject5,walkingTS1,soleus_l,0.8525590776559565,0.9001891219557976,0.03
subject5,walkingTS1,gasmed_l,0.8602244300476485,0.8602244300476485,0.0
subject5,walkingTS1,tibant_l,0.02029684737186016,0.020358608619132246,0.0
subject5,walkingTS1,recfem_l,0.20365670001080777,0.4077281948881219,0.08
subject5,walkingTS1,vasmed_l,0.5648900865044302,0.6988428778191734,0.11
subject5,walkingTS1,vaslat_l,0.6178628419510315,0.6764456859837554,0.06
subject5,walkingTS1,semiten_l,0.33279939542344084,0.33279939542344084,0.0
subject5,walkingTS1,bflh_l,0.8987923145503303,0.9026180922610749,0.01
subject5,walkingTS1,glmed1_l,-0.20713263343770907,0.06657211056820383,0.12
subject5,walkingTS1,soleus_r,0.9064311117009667,0.927731652620022,0.02
subject5,walkingTS1,gasmed_r,0.7263797238773383,0.7523734737013865,0.03
subject5,walkingTS1,vasmed_r,0.1657193830760854,0.3348546224233768,0.12
subject5,walkingTS1,vaslat_r,0.20375472509040715,0.26255201952267515,0.09
subject5,walkingTS1,semiten_r,0.8784224274600494,0.8784224274600494,0.0
subject5,walkingTS1,bflh_r,0.8808099350291175,0.8808099350291175,0.0
subject5,walkingTS1,glmed1_r,-0.2844490341600399,-0.06667632171855983,0.12
subject5,walkingTS2,soleus_l,0.9313547006339669,0.984174216266582,0.03
subject5,walkingTS2,gasmed_l,0.8287826980970235,0.8287826980970235,0.0
subject5,walkingTS2,tibant_l,-0.15283225140119855,-0.15283225140119855,0.0
subject5,walkingTS2,recfem_l,0.22513401977062816,0.3502789860140603,0.06
subject5,walkingTS2,vasmed_l,0.5977084905971438,0.5977084905971438,0.0
subject5,walkingTS2,vaslat_l,0.7119638924292967,0.7511004192684843,0.03
subject5,walkingTS2,semiten_l,0.6519225889479447,0.6519225889479447,0.0
subject5,walkingTS2,bflh_l,0.6216072918848524,0.6216072918848524,0.0
subject5,walkingTS2,glmed1_l,0.29677341335272006,0.5631301730597957,0.12
subject5,walkingTS2,soleus_r,0.9491463199374028,0.9491463199374028,0.0
