newmus_subject5_walking1_k8_design_m01,8,True,0.1,727412.430,310.2,7.2,223.5,2.7,95.6,33.0,310.2,1.6,39.6
newmus_subject5_walking1_k8_design_pf,8,False,0.2,1135669.896,310.6,52.3,212.0,11.8,79.8,120.2,310.6,2.1,30.5
newmus_subject10_walking1_k8_axisV,8,True,0.0,119375.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject10_walking1_k8_design_pelvfree,8,True,0.1,3306.307,112.9,0.0,112.9,0.0,42.8,0.0,26.6,0.0,11.8
newmus_subject5_walking1_k8_design_pelvfree,8,True,0.1,93465.379,229.0,5.4,144.5,2.0,36.0,24.4,229.0,0.6,14.3
newmus_subject11_walking2_k8_axisV,8,True,0.0,4985.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject3_walking1_k8_axisV,8,True,0.0,1067.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject3_walking2_k8_axisV,8,True,0.0,932.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject3_walking3_k8_axisV,8,True,0.0,1575.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject3_walkingTS2_k8_axisV,8,True,0.1,1497.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject3_walkingTS3_k8_axisV,8,True,0.0,1380.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject3_walkingTS4_k8_axisV,8,True,0.0,882.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject4_walking1_k8_axisV,8,True,0.0,1909.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject5_walking1_k8_axisV,8,True,0.0,1288.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject7_walking1_k8_axisV,8,True,0.0,1915.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newmus_subject8_walking1_k8_axisV,8,True,0.0,1428.910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
